threshold,n_races,actual_upset,precision,roi_単勝,roi_複勝,roi_馬連,roi_ワイド,roi_馬単,roi_三連複,roi_三連単
0.1,2772,221,0.07972582972582973,74.30049627791563,72.0017369727047,64.36891819639993,62.043949385136344,64.06029228301551,52.983075697262564,56.55041054028306
0.12,2636,219,0.0830804248861912,75.39196396209807,72.33469683632786,65.44912061462696,62.64192729033952,65.16583910408802,53.79471175508864,57.537524406654214
0.14,2492,212,0.08507223113964688,75.48572361795367,71.75154468004028,65.01572381781259,62.16845566192825,64.71569480707862,53.53268025194002,57.26439497103604
0.16,2366,209,0.08833474218089603,76.53361884368309,72.11648822269807,66.18427491597947,62.846668095656014,65.9376933685458,54.79363358057233,58.72412423865534
0.18,2247,204,0.09078771695594126,76.390461639855,72.28902669183068,65.74102832092821,63.259678327063774,64.72159338543628,55.01412608213349,58.40449445633954
0.2,2164,203,0.09380776340110905,76.79759432061259,72.48132188362216,66.24259812398469,63.744694230466905,65.32413229925413,55.87466334028708,59.305430146028584
0.22,2046,198,0.0967741935483871,76.79119086460032,72.91386623164765,67.03215263345815,64.36349321150976,65.98668851678585,56.8617535041004,60.26822915078053
0.24,1923,190,0.09880395215808632,77.82221301284707,72.99419809365935,67.75367632868887,64.81174495349107,66.88349125786405,57.703345501835955,61.124967211953674
0.26,1807,183,0.10127282789153293,77.79220304271503,72.64847864248098,67.76719178395756,64.62238861392434,66.84746504163466,57.524690077431586,61.186198376609426
0.28,1686,175,0.10379596678529063,79.06591690096845,73.32200874726648,69.79202650971644,65.68724382333353,68.74861251739429,59.23470541873329,63.10640388536615
0.3,1568,165,0.10522959183673469,79.598359969877,73.83231528742364,71.16252436506238,66.56587098229521,70.03756702199652,60.40878392523412,64.29597830578206
0.32,1437,156,0.10855949895615867,80.23267416545718,73.92734034833092,70.03910050138443,66.62893811269925,68.86200079822396,60.86651742675534,64.47259713757124
0.34,1326,147,0.11085972850678733,80.56622257053291,74.28634404388714,72.01966706940529,67.45717545979326,70.62098939454961,62.36559689661975,66.4270094411529
0.36,1218,142,0.11658456486042693,82.2327160821351,74.73603225977608,74.00496665966797,68.00667530643422,72.86553094750255,64.02883267095551,68.88523460108942
0.38,1101,132,0.11989100817438691,83.93971319871231,75.6008194322505,75.73170245826527,68.8491174947209,74.74341607235348,64.45025590955275,69.69598773152181
0.4,983,118,0.12004069175991862,84.86678855948804,75.18610421836229,74.65133787410431,68.34805098181624,74.25236707616273,63.13162520539569,69.28563058071255
0.42,839,104,0.12395709177592372,86.22088597960116,75.91642563556097,76.27072305873888,69.60234338866334,75.5738732720078,64.88152872994559,70.70987422550475
0.44,680,87,0.12794117647058822,88.08936249766312,77.2378014582165,75.4439334539606,70.78809811017291,75.03009398874146,66.60527447712242,71.24541193971002
0.46,489,67,0.13701431492842536,92.1435012237537,78.15277598866417,80.55582257621533,72.27770530074156,79.44846882724526,66.35593282060246,73.09578259434055
0.48,310,41,0.13225806451612904,83.83793590002016,76.5873815762951,73.33324452496403,69.38615655139341,71.26085682314701,62.26170591993901,66.30568042119266
0.5,175,27,0.15428571428571428,76.50615114235501,74.98769771528998,73.07787391841781,65.76889621389003,68.74399120999863,52.732817175699424,58.18830253803892
0.52,57,12,0.21052631578947367,105.47231270358306,83.83279044516829,72.65250855188141,77.33751425313568,75.76254275940707,62.18694938031955,65.12488178786522
0.54,4,2,0.5,87.05882352941177,107.6470588235294,156.17216117216117,114.83516483516483,126.17216117216117,101.53706395348838,103.76998546511629
0.56,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.58,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.6,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.62,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.64,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.66,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.68,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.7,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.72,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.74,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.76,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.78,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.8,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.82,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.84,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.86,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.88,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.9,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.92,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.94,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
