factor,lgb_gain
F241_sogo_mark_unpop,39606.860082775354
F221_training_mark,15557.212455928326
F236_odds_up_overval,11904.809128046036
F237_pop_rank_drop,11470.429036140442
F165_stable_mark_unpop,6701.924313575029
F163_stable_idx_unpop,6546.64257979393
F295_prize_top_unpop,6360.122804880142
F243_upset_mark,6099.800462543964
F225_chk_top_unpop,5844.125929474831
F126_agari_rank_unpop,5005.180889904499
F244_longshot_mark,4858.309982180595
F141_jt_combo_unpop,3937.1412608623505
F245_gekiso_unpop,3226.8952629566193
F345_cid_top_unpop,2947.0917315483093
F383_avg_finish_unpop,2581.29731798172
F216_workout_overval,2285.0895099639893
F240_idm_mark_unpop,2069.702903985977
F116_hpace_good_hpred,1995.0710612535477
F138_top_jockey_unpop,1928.6030100882053
F042_ten_top_unpop,1899.5977239608765
F384_good_form_overval,1714.8780979514122
F081_dist_apt_unpop,1707.7677717208862
F217_fitness_top3,1632.459520995617
F253_odds_down,1403.5475144386292
F063_surface_pr_high,1337.745443701744
F145_jidx_top_unpop,1062.3032398819923
F348_ten1_unpop,575.5532950162888
F033_race_low_soten_hi,563.3315364420414
F246_manken_top3,542.2734552621841
F278_improvement_high,448.2184620797634
F143_jexp_wr_unpop,398.45517337322235
F156_jtd_pr_top,308.23664951324463
F306_season_pr_high,253.61020684242249
F349_pace1_unpop,230.50926733016968
F046_improving_trend,221.1828898191452
F337_idm_top25_unpop,221.09885954856873
F094_td_pr_high,220.72638791799545
F112_nige_hpace_bad,198.6449298262596
F111_oikomi_hpace,197.831264346838
F114_pace_press_sashi,169.83820009231567
F059_sire_turf_unpop,163.086261510849
F048_slow_start_fast_f,155.1257003545761
F367_alternating,147.1517196893692
F336_idm1_unpop,138.15242075920105
F251_low_pop_high_sogo,137.74843510985374
F044_prev1_bad_good_ag,130.11330032348633
F014_start_idx_unpop,126.73925876617432
F370_agari_top_outside,116.80584192276001
F347_agari1_unpop,109.09453058242798
F061_sire_dirt_unpop,105.30555784702301
F281_tataki_2,102.85980951786041
F057_turf_apt_unpop,100.45572912693024
F201_weight_gain,97.0213907957077
F255_prev_fav_flop,96.97895979881287
F112_nige_space,91.6678034067154
F058_dirt_apt_unpop,80.97911435365677
F024_prev1_ato_furi,74.46044969558716
F111_sashi_space_bad,72.36991548538208
F021_prev1_furi,55.76102903485298
F284_prev_higher_grade,54.59269070625305
F021_furi_unpop,42.174919813871384
F254_fuku_low_tan_high,32.31273698806763
F026_furi_underperf,27.91193389892578
F119_mid_back_3f_top,19.942573189735413
F029_furi_good_agari,13.643053233623505
F025_furi_twice,1.759725034236908
F361_prev_fav1_flop,0.0
F219_fitness_improved,0.0
