feature,importance
day_odds_entropy,15038.777114868164
騎手指数_std,10492.084213256836
top3_implied_prob,4889.617721557617
fav_day_odds_mean,3274.8175315856934
odds_top2,2344.809673309326
fitness_gap,2106.621105194092
テン指数_mean,1937.6130905151367
joa_cid_std,1758.4794006347656
fav_激走指数_mean,1501.4234008789062
cyb_fitness_std,1483.2507781982422
fav_bms_turf_rate_mean,1471.6743087768555
fav_jockey_trainer_pr_mean,1319.8800926208496
fav_days_since_entry_mean,1286.8818969726562
fav_idm_change_mean,1207.2994232177734
上がり指数_std,1157.3641891479492
rest_prev1_finish_mean,1102.451301574707
fav_trainer_win_trend,1099.2518920898438
joa_cid_mean,1087.1368942260742
fav_基準オッズ_mean,1068.463607788086
fav_season_pr_mean,1068.2680358886719
位置指数_std,1031.4030075073242
ペース指数_min,1003.0011978149414
odds_entropy,1001.138500213623
fav_good_pr_mean,940.362606048584
idm_gap,894.3743133544922
fav_jockey_flat_pr_mean,867.500602722168
万券指数_std,861.544994354248
IDM_std,815.8712158203125
odds_top1_ratio,802.3973007202148
fav_bms_dirt_rate_mean,802.2536010742188
fav_workout_mean,787.6971015930176
workout_gap,775.9763946533203
ペース指数_std,762.6370887756348
fav_start_idx_mean,760.7114105224609
fav_jockey_track_dist_pr_mean,736.6927032470703
厩舎指数_mean,726.3186988830566
cyb_workout_std,711.0980949401855
厩舎指数_std,673.6005020141602
上がり指数_mean,659.9050979614258
consecutive_day,639.5657043457031
fav_paddock_mean,637.0382041931152
ペース指数_max,632.0093002319336
prev1_finish_gap,614.7991065979004
厩舎指数_max,607.7498970031738
fav_jockey_place_rate_mean,602.5026016235352
上がり指数_min,572.8632049560547
rest_fitness_mean,561.8567962646484
基準オッズ_std,558.7578048706055
turf_bias,557.6616973876953
fav_位置指数_mean,556.5536994934082
fav_jockey_win_trend,534.3986968994141
万券指数_mean,531.9385871887207
fav_テン指数_mean,521.023193359375
激走指数_max,518.9037933349609
odds_ratio_1_2,493.6424903869629
fav_late_start_rate_mean,476.343994140625
fav_cid_score_mean,474.2190055847168
rest_prev1_underperform_mean,472.2555923461914
odds_gap_1_2,470.22199630737305
位置指数_max,461.460205078125
総合指数_max,433.33800506591797
総合指数_std,427.56070709228516
fav_prev1_agari_mean,424.32359313964844
fav_heavy_pr_mean,412.9902038574219
fav_hp_pr_mean,411.0457878112793
テン指数_min,375.6193084716797
fav_training_mark_mean,360.65821075439453
fav_trainer_leading_mean,350.38450622558594
fav_jockey_graded_wins_mean,341.0618019104004
fav_万券指数_mean,312.8622055053711
総合指数_min,300.19190216064453
fav_td_pr_mean,298.41009521484375
fav_jockey_career_wr,277.47900390625
joa_ls_mean,253.76829528808594
情報指数_max,235.13100051879883
fav_weight_carried_mean,218.67450714111328
fav_prev1_underperform_mean,168.93240356445312
fav_mp_pr_mean,128.68989944458008
fav_厩舎指数_mean,72.29149627685547
joa_ls_std,66.83809661865234
